input,output
ticker_symbol <= 706644,ColumnValue `ticker_symbol` <= 706644
length of ticker_symbol >= 8119,ColumnLength `ticker_symbol` >= 8119
weight < 719856,ColumnValue `weight` < 719856
length of cusip < 9365,ColumnLength `cusip` < 9365
length of age < 1242,ColumnLength `age` < 1242
length of height > 3738,ColumnLength `height` > 3738
salary < 486339,ColumnValue `salary` < 486339
length of cusip = 4707,ColumnLength `cusip` = 4707
type of weight is boolean,ColumnDataType `weight` = 4707
ticker_symbol > 514434,ColumnValue `ticker_symbol` > 514434
length of weight >= 3769,ColumnLength `weight` >= 3769
holdings = 605330,ColumnValue `holdings` = 605330
length of height <= 5010,ColumnLength `height` <= 5010
length of holdings >= 9797,ColumnLength `holdings` >= 9797
type of weight is string,ColumnDataType `weight` = 9797
length of cusip = 3162,ColumnLength `cusip` = 3162
length of salary <= 4162,ColumnLength `salary` <= 4162
ticker_symbol >= 268734,ColumnValue `ticker_symbol` >= 268734
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 268734
length of cusip < 5792,ColumnLength `cusip` < 5792
type of height is float,ColumnDataType `height` = 5792
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 5792
length of salary > 5323,ColumnLength `salary` > 5323
cusip = 535181,ColumnValue `cusip` = 535181
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 535181
weight < 75503,ColumnValue `weight` < 75503
cusip <= 394704,ColumnValue `cusip` <= 394704
ticker_symbol = 999830,ColumnValue `ticker_symbol` = 999830
type of age is string,ColumnDataType `age` = 999830
type of cusip is boolean,ColumnDataType `cusip` = 999830
height > 726028,ColumnValue `height` > 726028
salary > 378617,ColumnValue `salary` > 378617
type of age is float,ColumnDataType `age` = 378617
type of salary is float,ColumnDataType `salary` = 378617
age <= 273821,ColumnValue `age` <= 273821
type of salary is float,ColumnDataType `salary` = 273821
weight > 838461,ColumnValue `weight` > 838461
length of holdings >= 840,ColumnLength `holdings` >= 840
type of weight is float,ColumnDataType `weight` = 840
length of salary >= 5206,ColumnLength `salary` >= 5206
weight <= 936221,ColumnValue `weight` <= 936221
length of weight = 10000,ColumnLength `weight` = 10000
weight < 795619,ColumnValue `weight` < 795619
salary < 285174,ColumnValue `salary` < 285174
salary > 191856,ColumnValue `salary` > 191856
type of salary is boolean,ColumnDataType `salary` = 191856
length of cusip < 9337,ColumnLength `cusip` < 9337
length of weight > 2256,ColumnLength `weight` > 2256
height > 570789,ColumnValue `height` > 570789
cusip < 870745,ColumnValue `cusip` < 870745
holdings >= 368060,ColumnValue `holdings` >= 368060
length of cusip <= 5314,ColumnLength `cusip` <= 5314
length of weight > 2068,ColumnLength `weight` > 2068
age > 250792,ColumnValue `age` > 250792
holdings > 43107,ColumnValue `holdings` > 43107
type of cusip is boolean,ColumnDataType `cusip` = 43107
height = 471048,ColumnValue `height` = 471048
cusip >= 884887,ColumnValue `cusip` >= 884887
holdings >= 25738,ColumnValue `holdings` >= 25738
type of holdings is float,ColumnDataType `holdings` = 25738
type of holdings is int,ColumnDataType `holdings` = 25738
type of holdings is string,ColumnDataType `holdings` = 25738
cusip < 290643,ColumnValue `cusip` < 290643
type of height is int,ColumnDataType `height` = 290643
type of weight is float,ColumnDataType `weight` = 290643
age >= 208223,ColumnValue `age` >= 208223
holdings = 2351,ColumnValue `holdings` = 2351
length of holdings > 4145,ColumnLength `holdings` > 4145
length of ticker_symbol > 937,ColumnLength `ticker_symbol` > 937
ticker_symbol > 349443,ColumnValue `ticker_symbol` > 349443
ticker_symbol >= 599098,ColumnValue `ticker_symbol` >= 599098
type of salary is float,ColumnDataType `salary` = 599098
type of holdings is boolean,ColumnDataType `holdings` = 599098
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 599098
length of age >= 5855,ColumnLength `age` >= 5855
weight <= 620338,ColumnValue `weight` <= 620338
ticker_symbol <= 11176,ColumnValue `ticker_symbol` <= 11176
length of cusip < 741,ColumnLength `cusip` < 741
ticker_symbol > 523469,ColumnValue `ticker_symbol` > 523469
type of height is string,ColumnDataType `height` = 523469
type of age is string,ColumnDataType `age` = 523469
length of age < 8336,ColumnLength `age` < 8336
type of weight is float,ColumnDataType `weight` = 8336
type of salary is boolean,ColumnDataType `salary` = 8336
length of weight > 6843,ColumnLength `weight` > 6843
weight > 332929,ColumnValue `weight` > 332929
length of height > 462,ColumnLength `height` > 462
type of age is boolean,ColumnDataType `age` = 462
ticker_symbol = 634876,ColumnValue `ticker_symbol` = 634876
length of holdings < 1374,ColumnLength `holdings` < 1374
length of salary > 2628,ColumnLength `salary` > 2628
length of height <= 7787,ColumnLength `height` <= 7787
type of weight is float,ColumnDataType `weight` = 7787
length of salary = 505,ColumnLength `salary` = 505
length of height <= 9304,ColumnLength `height` <= 9304
length of ticker_symbol < 2702,ColumnLength `ticker_symbol` < 2702
length of height < 2862,ColumnLength `height` < 2862
length of cusip >= 8806,ColumnLength `cusip` >= 8806
type of salary is string,ColumnDataType `salary` = 8806
type of holdings is string,ColumnDataType `holdings` = 8806
length of holdings < 3275,ColumnLength `holdings` < 3275
type of salary is float,ColumnDataType `salary` = 3275
type of salary is int,ColumnDataType `salary` = 3275
age <= 116519,ColumnValue `age` <= 116519
length of height > 5189,ColumnLength `height` > 5189
weight >= 369373,ColumnValue `weight` >= 369373
length of height <= 5409,ColumnLength `height` <= 5409
cusip >= 144588,ColumnValue `cusip` >= 144588
type of holdings is int,ColumnDataType `holdings` = 144588
length of height = 744,ColumnLength `height` = 744
type of age is float,ColumnDataType `age` = 744
ticker_symbol >= 751230,ColumnValue `ticker_symbol` >= 751230
type of cusip is string,ColumnDataType `cusip` = 751230
salary > 208681,ColumnValue `salary` > 208681
length of salary >= 5260,ColumnLength `salary` >= 5260
type of cusip is string,ColumnDataType `cusip` = 5260
type of cusip is float,ColumnDataType `cusip` = 5260
length of height > 1105,ColumnLength `height` > 1105
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 1105
type of cusip is int,ColumnDataType `cusip` = 1105
height > 56699,ColumnValue `height` > 56699
salary = 596557,ColumnValue `salary` = 596557
length of salary <= 6145,ColumnLength `salary` <= 6145
type of age is int,ColumnDataType `age` = 6145
length of ticker_symbol <= 5672,ColumnLength `ticker_symbol` <= 5672
height > 175250,ColumnValue `height` > 175250
length of salary >= 3799,ColumnLength `salary` >= 3799
type of holdings is boolean,ColumnDataType `holdings` = 3799
salary <= 834437,ColumnValue `salary` <= 834437
holdings < 229329,ColumnValue `holdings` < 229329
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 229329
type of cusip is float,ColumnDataType `cusip` = 229329
weight = 351606,ColumnValue `weight` = 351606
length of salary >= 183,ColumnLength `salary` >= 183
length of height > 1248,ColumnLength `height` > 1248
length of weight > 8610,ColumnLength `weight` > 8610
length of holdings < 460,ColumnLength `holdings` < 460
cusip > 510766,ColumnValue `cusip` > 510766
type of cusip is int,ColumnDataType `cusip` = 510766
type of holdings is float,ColumnDataType `holdings` = 510766
length of ticker_symbol > 6742,ColumnLength `ticker_symbol` > 6742
length of weight > 441,ColumnLength `weight` > 441
type of holdings is boolean,ColumnDataType `holdings` = 441
weight <= 14591,ColumnValue `weight` <= 14591
type of age is int,ColumnDataType `age` = 14591
length of ticker_symbol > 5583,ColumnLength `ticker_symbol` > 5583
type of age is int,ColumnDataType `age` = 5583
age >= 283970,ColumnValue `age` >= 283970
type of holdings is string,ColumnDataType `holdings` = 283970
type of height is float,ColumnDataType `height` = 283970
height > 503132,ColumnValue `height` > 503132
age <= 903721,ColumnValue `age` <= 903721
length of cusip = 3777,ColumnLength `cusip` = 3777
length of height = 8912,ColumnLength `height` = 8912
type of age is int,ColumnDataType `age` = 8912
length of height = 4117,ColumnLength `height` = 4117
type of salary is boolean,ColumnDataType `salary` = 4117
type of salary is string,ColumnDataType `salary` = 4117
salary = 861147,ColumnValue `salary` = 861147
length of height < 2042,ColumnLength `height` < 2042
type of age is string,ColumnDataType `age` = 2042
length of cusip = 630,ColumnLength `cusip` = 630
holdings <= 796270,ColumnValue `holdings` <= 796270
type of holdings is int,ColumnDataType `holdings` = 796270
holdings <= 649826,ColumnValue `holdings` <= 649826
length of height <= 8314,ColumnLength `height` <= 8314
length of cusip <= 8443,ColumnLength `cusip` <= 8443
length of weight < 5574,ColumnLength `weight` < 5574
salary >= 894713,ColumnValue `salary` >= 894713
type of cusip is boolean,ColumnDataType `cusip` = 894713
age > 548489,ColumnValue `age` > 548489
length of ticker_symbol = 583,ColumnLength `ticker_symbol` = 583
type of age is string,ColumnDataType `age` = 583
age <= 525181,ColumnValue `age` <= 525181
ticker_symbol <= 38433,ColumnValue `ticker_symbol` <= 38433
length of age <= 2659,ColumnLength `age` <= 2659
length of age = 4465,ColumnLength `age` = 4465
type of weight is int,ColumnDataType `weight` = 4465
length of weight <= 4833,ColumnLength `weight` <= 4833
type of height is int,ColumnDataType `height` = 4833
cusip <= 289821,ColumnValue `cusip` <= 289821
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 289821
height = 593927,ColumnValue `height` = 593927
type of holdings is float,ColumnDataType `holdings` = 593927
height > 766335,ColumnValue `height` > 766335
length of ticker_symbol < 7448,ColumnLength `ticker_symbol` < 7448
type of age is int,ColumnDataType `age` = 7448
length of ticker_symbol <= 3016,ColumnLength `ticker_symbol` <= 3016
weight <= 520029,ColumnValue `weight` <= 520029
height <= 452947,ColumnValue `height` <= 452947
weight = 145432,ColumnValue `weight` = 145432
length of ticker_symbol <= 156,ColumnLength `ticker_symbol` <= 156
cusip >= 40476,ColumnValue `cusip` >= 40476
age = 789581,ColumnValue `age` = 789581
length of salary >= 7937,ColumnLength `salary` >= 7937
type of salary is int,ColumnDataType `salary` = 7937
length of height <= 7000,ColumnLength `height` <= 7000
weight >= 18461,ColumnValue `weight` >= 18461
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 18461
length of height >= 4856,ColumnLength `height` >= 4856
ticker_symbol >= 586997,ColumnValue `ticker_symbol` >= 586997
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 586997
type of height is boolean,ColumnDataType `height` = 586997
age > 179086,ColumnValue `age` > 179086
type of weight is float,ColumnDataType `weight` = 179086
salary >= 569827,ColumnValue `salary` >= 569827
ticker_symbol <= 902651,ColumnValue `ticker_symbol` <= 902651
length of ticker_symbol > 9984,ColumnLength `ticker_symbol` > 9984
holdings <= 865793,ColumnValue `holdings` <= 865793
salary <= 661330,ColumnValue `salary` <= 661330
type of salary is string,ColumnDataType `salary` = 661330
length of height >= 5335,ColumnLength `height` >= 5335
weight < 130414,ColumnValue `weight` < 130414
holdings < 965333,ColumnValue `holdings` < 965333
length of ticker_symbol < 6279,ColumnLength `ticker_symbol` < 6279
length of height > 5478,ColumnLength `height` > 5478
type of weight is boolean,ColumnDataType `weight` = 5478
cusip <= 853379,ColumnValue `cusip` <= 853379
cusip >= 361351,ColumnValue `cusip` >= 361351
type of holdings is int,ColumnDataType `holdings` = 361351
age = 989617,ColumnValue `age` = 989617
length of age >= 1577,ColumnLength `age` >= 1577
length of weight = 3753,ColumnLength `weight` = 3753
age = 542135,ColumnValue `age` = 542135
length of ticker_symbol > 5966,ColumnLength `ticker_symbol` > 5966
type of cusip is float,ColumnDataType `cusip` = 5966
length of holdings < 8382,ColumnLength `holdings` < 8382
length of salary <= 2368,ColumnLength `salary` <= 2368
length of weight <= 4891,ColumnLength `weight` <= 4891
age <= 127156,ColumnValue `age` <= 127156
cusip > 818121,ColumnValue `cusip` > 818121
length of ticker_symbol < 870,ColumnLength `ticker_symbol` < 870
length of holdings > 6103,ColumnLength `holdings` > 6103
holdings >= 42561,ColumnValue `holdings` >= 42561
type of holdings is string,ColumnDataType `holdings` = 42561
type of holdings is float,ColumnDataType `holdings` = 42561
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 42561
height <= 186014,ColumnValue `height` <= 186014
length of height = 1982,ColumnLength `height` = 1982
length of age <= 2549,ColumnLength `age` <= 2549
length of weight >= 5286,ColumnLength `weight` >= 5286
length of cusip < 8358,ColumnLength `cusip` < 8358
type of height is boolean,ColumnDataType `height` = 8358
length of salary < 9952,ColumnLength `salary` < 9952
height < 581873,ColumnValue `height` < 581873
cusip > 330936,ColumnValue `cusip` > 330936
length of salary >= 8786,ColumnLength `salary` >= 8786
type of weight is int,ColumnDataType `weight` = 8786
ticker_symbol < 265239,ColumnValue `ticker_symbol` < 265239
length of salary = 4309,ColumnLength `salary` = 4309
salary > 343535,ColumnValue `salary` > 343535
holdings = 215180,ColumnValue `holdings` = 215180
length of holdings <= 6461,ColumnLength `holdings` <= 6461
holdings < 707189,ColumnValue `holdings` < 707189
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 707189
type of holdings is float,ColumnDataType `holdings` = 707189
ticker_symbol < 7442,ColumnValue `ticker_symbol` < 7442
holdings <= 554973,ColumnValue `holdings` <= 554973
length of age < 1700,ColumnLength `age` < 1700
cusip < 182370,ColumnValue `cusip` < 182370
weight <= 652570,ColumnValue `weight` <= 652570
length of age > 7790,ColumnLength `age` > 7790
length of cusip = 6901,ColumnLength `cusip` = 6901
height = 460005,ColumnValue `height` = 460005
type of salary is float,ColumnDataType `salary` = 460005
type of salary is boolean,ColumnDataType `salary` = 460005
ticker_symbol >= 969720,ColumnValue `ticker_symbol` >= 969720
age = 886348,ColumnValue `age` = 886348
height <= 605202,ColumnValue `height` <= 605202
type of salary is int,ColumnDataType `salary` = 605202
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 605202
holdings >= 660764,ColumnValue `holdings` >= 660764
length of height <= 9874,ColumnLength `height` <= 9874
type of weight is string,ColumnDataType `weight` = 9874
salary > 579201,ColumnValue `salary` > 579201
length of holdings > 9276,ColumnLength `holdings` > 9276
age = 813485,ColumnValue `age` = 813485
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 813485
holdings <= 177219,ColumnValue `holdings` <= 177219
length of weight <= 2596,ColumnLength `weight` <= 2596
length of age < 1891,ColumnLength `age` < 1891
length of salary = 1456,ColumnLength `salary` = 1456
ticker_symbol >= 599818,ColumnValue `ticker_symbol` >= 599818
holdings >= 320847,ColumnValue `holdings` >= 320847
length of age <= 9773,ColumnLength `age` <= 9773
type of weight is string,ColumnDataType `weight` = 9773
height >= 864553,ColumnValue `height` >= 864553
length of weight < 3236,ColumnLength `weight` < 3236
height > 942145,ColumnValue `height` > 942145
age <= 491093,ColumnValue `age` <= 491093
salary > 853859,ColumnValue `salary` > 853859
length of holdings >= 7913,ColumnLength `holdings` >= 7913
height < 461965,ColumnValue `height` < 461965
cusip >= 659881,ColumnValue `cusip` >= 659881
type of salary is boolean,ColumnDataType `salary` = 659881
length of cusip > 1257,ColumnLength `cusip` > 1257
type of holdings is float,ColumnDataType `holdings` = 1257
weight < 247728,ColumnValue `weight` < 247728
age < 401679,ColumnValue `age` < 401679
length of cusip <= 6893,ColumnLength `cusip` <= 6893
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 6893
length of cusip <= 8313,ColumnLength `cusip` <= 8313
length of salary <= 7885,ColumnLength `salary` <= 7885
ticker_symbol = 835416,ColumnValue `ticker_symbol` = 835416
length of weight > 6682,ColumnLength `weight` > 6682
length of cusip = 6971,ColumnLength `cusip` = 6971
length of salary = 5521,ColumnLength `salary` = 5521
weight <= 139239,ColumnValue `weight` <= 139239
length of age > 3472,ColumnLength `age` > 3472
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 3472
length of age <= 2041,ColumnLength `age` <= 2041
length of age = 782,ColumnLength `age` = 782
type of holdings is boolean,ColumnDataType `holdings` = 782
height = 763524,ColumnValue `height` = 763524
length of holdings <= 8058,ColumnLength `holdings` <= 8058
type of holdings is string,ColumnDataType `holdings` = 8058
length of age < 9737,ColumnLength `age` < 9737
ticker_symbol = 873166,ColumnValue `ticker_symbol` = 873166
weight <= 21024,ColumnValue `weight` <= 21024
length of salary > 7220,ColumnLength `salary` > 7220
age > 317156,ColumnValue `age` > 317156
length of holdings >= 4245,ColumnLength `holdings` >= 4245
length of cusip >= 1544,ColumnLength `cusip` >= 1544
salary < 202834,ColumnValue `salary` < 202834
cusip = 240514,ColumnValue `cusip` = 240514
salary < 191424,ColumnValue `salary` < 191424
type of holdings is boolean,ColumnDataType `holdings` = 191424
type of cusip is int,ColumnDataType `cusip` = 191424
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 191424
length of cusip <= 5996,ColumnLength `cusip` <= 5996
length of weight > 4870,ColumnLength `weight` > 4870
length of height = 5425,ColumnLength `height` = 5425
type of age is int,ColumnDataType `age` = 5425
weight = 43966,ColumnValue `weight` = 43966
type of weight is int,ColumnDataType `weight` = 43966
weight <= 509049,ColumnValue `weight` <= 509049
length of height < 3065,ColumnLength `height` < 3065
type of holdings is string,ColumnDataType `holdings` = 3065
length of holdings > 7364,ColumnLength `holdings` > 7364
type of holdings is boolean,ColumnDataType `holdings` = 7364
type of salary is boolean,ColumnDataType `salary` = 7364
length of holdings <= 4146,ColumnLength `holdings` <= 4146
length of height < 3644,ColumnLength `height` < 3644
length of height > 4425,ColumnLength `height` > 4425
length of salary >= 2692,ColumnLength `salary` >= 2692
length of holdings > 7082,ColumnLength `holdings` > 7082
length of holdings = 6147,ColumnLength `holdings` = 6147
holdings < 773027,ColumnValue `holdings` < 773027
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 773027
length of holdings > 3360,ColumnLength `holdings` > 3360
length of weight > 9884,ColumnLength `weight` > 9884
cusip > 586113,ColumnValue `cusip` > 586113
length of cusip >= 5988,ColumnLength `cusip` >= 5988
type of holdings is boolean,ColumnDataType `holdings` = 5988
age = 377201,ColumnValue `age` = 377201
holdings < 75887,ColumnValue `holdings` < 75887
type of cusip is float,ColumnDataType `cusip` = 75887
length of cusip <= 9156,ColumnLength `cusip` <= 9156
length of ticker_symbol < 1270,ColumnLength `ticker_symbol` < 1270
length of holdings < 632,ColumnLength `holdings` < 632
type of holdings is float,ColumnDataType `holdings` = 632
cusip > 710518,ColumnValue `cusip` > 710518
length of ticker_symbol < 5667,ColumnLength `ticker_symbol` < 5667
length of holdings < 68,ColumnLength `holdings` < 68
length of height <= 6151,ColumnLength `height` <= 6151
weight <= 192343,ColumnValue `weight` <= 192343
type of salary is boolean,ColumnDataType `salary` = 192343
age > 298225,ColumnValue `age` > 298225
salary > 159986,ColumnValue `salary` > 159986
length of ticker_symbol <= 9412,ColumnLength `ticker_symbol` <= 9412
type of holdings is string,ColumnDataType `holdings` = 9412
type of age is boolean,ColumnDataType `age` = 9412
type of holdings is boolean,ColumnDataType `holdings` = 9412
type of weight is boolean,ColumnDataType `weight` = 9412
type of salary is string,ColumnDataType `salary` = 9412
type of salary is float,ColumnDataType `salary` = 9412
salary = 79119,ColumnValue `salary` = 79119
type of salary is string,ColumnDataType `salary` = 79119
salary <= 191439,ColumnValue `salary` <= 191439
weight <= 437912,ColumnValue `weight` <= 437912
length of cusip >= 1637,ColumnLength `cusip` >= 1637
height = 527814,ColumnValue `height` = 527814
cusip > 626104,ColumnValue `cusip` > 626104
length of height <= 31,ColumnLength `height` <= 31
type of age is string,ColumnDataType `age` = 31
length of cusip > 2997,ColumnLength `cusip` > 2997
cusip = 251227,ColumnValue `cusip` = 251227
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 251227
ticker_symbol >= 364201,ColumnValue `ticker_symbol` >= 364201
ticker_symbol < 312328,ColumnValue `ticker_symbol` < 312328
length of height >= 6713,ColumnLength `height` >= 6713
length of weight <= 5079,ColumnLength `weight` <= 5079
length of height < 5110,ColumnLength `height` < 5110
type of salary is int,ColumnDataType `salary` = 5110
length of cusip >= 6301,ColumnLength `cusip` >= 6301
length of height = 2397,ColumnLength `height` = 2397
type of holdings is int,ColumnDataType `holdings` = 2397
length of salary < 3345,ColumnLength `salary` < 3345
weight <= 745571,ColumnValue `weight` <= 745571
length of cusip = 6074,ColumnLength `cusip` = 6074
type of age is int,ColumnDataType `age` = 6074
type of age is string,ColumnDataType `age` = 6074
length of holdings >= 7909,ColumnLength `holdings` >= 7909
age < 692721,ColumnValue `age` < 692721
type of height is float,ColumnDataType `height` = 692721
holdings > 272146,ColumnValue `holdings` > 272146
ticker_symbol < 934064,ColumnValue `ticker_symbol` < 934064
length of cusip > 2820,ColumnLength `cusip` > 2820
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 2820
type of cusip is boolean,ColumnDataType `cusip` = 2820
type of weight is boolean,ColumnDataType `weight` = 2820
length of ticker_symbol = 7602,ColumnLength `ticker_symbol` = 7602
type of salary is string,ColumnDataType `salary` = 7602
length of salary < 1918,ColumnLength `salary` < 1918
length of holdings > 77,ColumnLength `holdings` > 77
length of cusip = 8876,ColumnLength `cusip` = 8876
length of cusip >= 1508,ColumnLength `cusip` >= 1508
length of weight > 1212,ColumnLength `weight` > 1212
type of salary is int,ColumnDataType `salary` = 1212
holdings > 725793,ColumnValue `holdings` > 725793
length of cusip = 1201,ColumnLength `cusip` = 1201
ticker_symbol > 863550,ColumnValue `ticker_symbol` > 863550
length of height <= 5195,ColumnLength `height` <= 5195
type of salary is float,ColumnDataType `salary` = 5195
length of ticker_symbol <= 4439,ColumnLength `ticker_symbol` <= 4439
type of height is float,ColumnDataType `height` = 4439
height = 802321,ColumnValue `height` = 802321
type of salary is int,ColumnDataType `salary` = 802321
salary = 779119,ColumnValue `salary` = 779119
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 779119
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 779119
length of cusip > 770,ColumnLength `cusip` > 770
height = 566030,ColumnValue `height` = 566030
length of weight = 8686,ColumnLength `weight` = 8686
height = 808165,ColumnValue `height` = 808165
type of age is boolean,ColumnDataType `age` = 808165
length of height >= 4449,ColumnLength `height` >= 4449
type of weight is boolean,ColumnDataType `weight` = 4449
height <= 414905,ColumnValue `height` <= 414905
type of age is string,ColumnDataType `age` = 414905
salary >= 79798,ColumnValue `salary` >= 79798
height <= 325222,ColumnValue `height` <= 325222
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 325222
holdings >= 803911,ColumnValue `holdings` >= 803911
age > 670238,ColumnValue `age` > 670238
length of age < 5247,ColumnLength `age` < 5247
salary > 498704,ColumnValue `salary` > 498704
type of weight is string,ColumnDataType `weight` = 498704
ticker_symbol >= 480899,ColumnValue `ticker_symbol` >= 480899
length of cusip = 7725,ColumnLength `cusip` = 7725
length of salary = 4002,ColumnLength `salary` = 4002
type of age is int,ColumnDataType `age` = 4002
height > 320109,ColumnValue `height` > 320109
type of height is float,ColumnDataType `height` = 320109
type of cusip is float,ColumnDataType `cusip` = 320109
weight <= 255559,ColumnValue `weight` <= 255559
type of cusip is int,ColumnDataType `cusip` = 255559
age > 288923,ColumnValue `age` > 288923
length of ticker_symbol >= 2382,ColumnLength `ticker_symbol` >= 2382
length of ticker_symbol < 8457,ColumnLength `ticker_symbol` < 8457
type of holdings is float,ColumnDataType `holdings` = 8457
length of cusip <= 4138,ColumnLength `cusip` <= 4138
length of weight = 9684,ColumnLength `weight` = 9684
cusip = 419158,ColumnValue `cusip` = 419158
length of holdings <= 922,ColumnLength `holdings` <= 922
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 922
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 922
length of ticker_symbol > 1192,ColumnLength `ticker_symbol` > 1192
weight < 356678,ColumnValue `weight` < 356678
type of holdings is string,ColumnDataType `holdings` = 356678
length of salary = 2639,ColumnLength `salary` = 2639
holdings > 442752,ColumnValue `holdings` > 442752
length of holdings > 384,ColumnLength `holdings` > 384
length of ticker_symbol >= 5982,ColumnLength `ticker_symbol` >= 5982
length of holdings >= 1542,ColumnLength `holdings` >= 1542
ticker_symbol = 482568,ColumnValue `ticker_symbol` = 482568
holdings = 980060,ColumnValue `holdings` = 980060
length of age < 4020,ColumnLength `age` < 4020
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 4020
type of cusip is boolean,ColumnDataType `cusip` = 4020
type of cusip is boolean,ColumnDataType `cusip` = 4020
length of cusip = 3282,ColumnLength `cusip` = 3282
type of age is int,ColumnDataType `age` = 3282
age > 514729,ColumnValue `age` > 514729
type of age is int,ColumnDataType `age` = 514729
cusip >= 195102,ColumnValue `cusip` >= 195102
holdings <= 318929,ColumnValue `holdings` <= 318929
type of salary is string,ColumnDataType `salary` = 318929
length of holdings >= 6442,ColumnLength `holdings` >= 6442
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 6442
length of age < 4518,ColumnLength `age` < 4518
cusip < 962669,ColumnValue `cusip` < 962669
cusip <= 383049,ColumnValue `cusip` <= 383049
salary < 423960,ColumnValue `salary` < 423960
weight < 308,ColumnValue `weight` < 308
length of holdings > 6504,ColumnLength `holdings` > 6504
type of cusip is boolean,ColumnDataType `cusip` = 6504
salary > 874758,ColumnValue `salary` > 874758
type of height is int,ColumnDataType `height` = 874758
height <= 894230,ColumnValue `height` <= 894230
height >= 715334,ColumnValue `height` >= 715334
salary < 698561,ColumnValue `salary` < 698561
type of holdings is float,ColumnDataType `holdings` = 698561
salary < 552054,ColumnValue `salary` < 552054
length of age = 2978,ColumnLength `age` = 2978
length of ticker_symbol = 6735,ColumnLength `ticker_symbol` = 6735
length of height <= 9984,ColumnLength `height` <= 9984
length of holdings >= 8967,ColumnLength `holdings` >= 8967
height <= 502836,ColumnValue `height` <= 502836
height >= 718433,ColumnValue `height` >= 718433
length of ticker_symbol >= 3336,ColumnLength `ticker_symbol` >= 3336
length of ticker_symbol = 8766,ColumnLength `ticker_symbol` = 8766
age < 31225,ColumnValue `age` < 31225
length of cusip = 5107,ColumnLength `cusip` = 5107
type of age is boolean,ColumnDataType `age` = 5107
salary >= 971140,ColumnValue `salary` >= 971140
length of height <= 8031,ColumnLength `height` <= 8031
type of age is float,ColumnDataType `age` = 8031
type of weight is float,ColumnDataType `weight` = 8031
length of cusip >= 7159,ColumnLength `cusip` >= 7159
length of salary = 184,ColumnLength `salary` = 184
type of weight is float,ColumnDataType `weight` = 184
weight > 525393,ColumnValue `weight` > 525393
length of age <= 8928,ColumnLength `age` <= 8928
length of holdings <= 2726,ColumnLength `holdings` <= 2726
length of height = 1581,ColumnLength `height` = 1581
age > 465573,ColumnValue `age` > 465573
length of height <= 3633,ColumnLength `height` <= 3633
length of height = 6942,ColumnLength `height` = 6942
ticker_symbol < 380611,ColumnValue `ticker_symbol` < 380611
type of height is float,ColumnDataType `height` = 380611
type of weight is int,ColumnDataType `weight` = 380611
salary >= 23097,ColumnValue `salary` >= 23097
type of holdings is boolean,ColumnDataType `holdings` = 23097
age >= 538500,ColumnValue `age` >= 538500
height >= 461669,ColumnValue `height` >= 461669
type of salary is int,ColumnDataType `salary` = 461669
holdings < 644479,ColumnValue `holdings` < 644479
type of holdings is boolean,ColumnDataType `holdings` = 644479
length of ticker_symbol < 8822,ColumnLength `ticker_symbol` < 8822
length of cusip >= 3659,ColumnLength `cusip` >= 3659
type of cusip is int,ColumnDataType `cusip` = 3659
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 3659
type of salary is float,ColumnDataType `salary` = 3659
height <= 296127,ColumnValue `height` <= 296127
length of cusip < 5003,ColumnLength `cusip` < 5003
length of holdings <= 7846,ColumnLength `holdings` <= 7846
type of holdings is int,ColumnDataType `holdings` = 7846
length of ticker_symbol >= 7622,ColumnLength `ticker_symbol` >= 7622
length of cusip > 9188,ColumnLength `cusip` > 9188
length of weight > 1224,ColumnLength `weight` > 1224
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 1224
length of weight = 7055,ColumnLength `weight` = 7055
length of weight <= 2260,ColumnLength `weight` <= 2260
type of weight is float,ColumnDataType `weight` = 2260
